Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
-192.31,158.25,-106.48,299.87,-458.66,-386.24,-332.59,-2.41,891.3,874.13,293.17,403.94,-788.84,-554.41,-330.45,128.48
-30.31,1071.27,304.7,1743.97,-436.4,-195.26,50.96,972.03,214.31,190.71,770.87,-41.31,-254.81,-227.18,137.6,130.62
-34.6,65.71,-20.65,150.74,-438.54,-472.07,-361.83,-320.52,655.8,630.05,1792.52,348.96,-18.78,-33.53,611.81,543.15
720.71,890.49,630.32,688.25,-1194.66,-1652.78,-1169.44,-1279.15,338.76,279.22,159.86,92.27,-378.19,-304.7,-188.29,-54.72
-133.04,109.97,-94.95,156.37,-519.81,-519.01,-449.0,-239.79,1074.76,1045.79,392.94,523.84,-866.09,-586.33,-325.35,190.17
-31.65,1119.55,306.04,1801.64,-447.93,-211.09,42.92,994.56,104.87,80.73,417.62,-115.33,-317.84,-289.68,-32.99,-9.39
-106.48,78.59,-51.77,249.71,-367.46,-333.4,-248.1,-107.02,762.55,748.6,2034.99,430.76,2.41,-24.68,704.35,633.27
644.27,787.23,559.51,608.59,-1165.96,-1609.06,-1151.74,-1249.64,204.12,149.4,196.07,21.46,-262.59,-240.59,-120.43,-71.08
-48.01,112.92,-50.43,75.1,-619.05,-697.37,-591.43,-480.38,1157.37,1140.21,451.68,618.52,-830.95,-561.65,-288.87,249.71
-70.81,1043.65,251.05,1676.11,-468.85,-236.57,-8.05,926.44,87.98,60.08,162.54,-138.4,-401.53,-343.86,-169.52,-90.39
-143.77,199.56,-35.41,472.07,-346.0,-258.03,-163.61,116.41,817.0,787.23,2129.41,426.74,-27.36,-14.75,733.85,683.7
596.52,718.83,513.11,570.51,-1087.1,-1500.7,-1062.15,-1175.61,153.96,95.49,359.42,-18.51,-184.27,-184.54,-18.78,-27.89
118.82,253.2,81.54,152.35,-756.11,-930.73,-744.31,-707.3,1170.25,1116.6,481.72,615.84,-835.51,-539.66,-272.78,242.74
-108.63,858.04,168.98,1403.33,-468.05,-252.66,-64.64,793.4,174.08,144.3,37.82,-84.22,-500.77,-405.28,-261.25,-111.04
-136.52,391.33,29.77,775.69,-359.42,-227.99,-97.9,350.03,749.14,732.78,1995.83,389.46,-52.57,-41.04,696.57,647.22
