Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
10281.44,11769.27,-11521.43,12174.55,8941.95,3711.37,3011.58,11955.14,2068.79,-1989.93,-11016.64,5233.26,-46156.53,-1373.02,3512.08,-3136.31
14394.34,12000.74,-8301.17,7968.58,7467.81,2792.98,3190.49,15984.36,15277.6,-7324.58,-10673.85,12955.61,28848.77,6698.55,-2630.98,1852.6
-5323.38,-8286.42,-6888.18,-9342.4,-7292.12,-4332.84,-5368.17,-4161.45,10944.22,-3145.69,-2711.45,11074.57,44271.74,5262.49,2004.95,443.37
-10685.65,-11904.99,-13502.78,-11541.55,-6489.34,-3603.01,-6422.28,-10113.81,-530.27,1449.47,-1422.11,2093.73,-33883.54,-2729.95,8040.99,-2949.36
6928.95,7936.12,-13054.31,8643.15,6552.91,2199.14,1832.49,6416.65,-228.52,-1940.58,-11111.05,3227.23,-54748.45,-2900.54,4787.48,-4391.85
16738.33,15591.95,-8856.65,11123.39,9283.13,3777.36,4556.81,17187.06,11873.07,-6793.5,-9821.45,9496.9,14059.34,4609.64,-1690.86,1545.76
-583.11,-3638.95,-5018.68,-5484.85,-4775.41,-3082.39,-3544.54,106.48,13836.98,-4040.48,-3001.93,12148.53,52389.71,6441.59,835.51,1496.67
-11134.39,-12867.9,-12056.26,-12373.57,-7298.83,-3861.58,-6823.54,-9806.96,1586.26,1900.88,481.19,3191.02,-12198.42,-1414.87,7869.87,-1861.99
768.99,2720.3,-12496.41,3122.36,3204.7,903.37,-340.37,2692.13,-560.31,-1242.4,-11039.7,3882.77,-58290.31,-3473.73,5672.87,-5378.9
16456.96,16521.34,-8838.15,11434.53,9550.27,3767.97,4844.07,16333.58,10004.1,-6080.57,-11657.15,8763.05,-6602.79,2760.8,-932.34,-687.18
